0,1,2
1607,1,"יְהוָה אֱלֹהַי אַתָּה אֲרוֹמִמְךָ אוֹדֶה שִׁמְךָ כִּי עָשִׂיתָ פֶּלֶא עֵצוֹת מֵרָחוֹק אֱמוּנָה אֹמֶן ׃"
1607,2,"כִּי שַׂמְתָּ מֵעִיר לַגָּל קִרְיָה בְצוּרָה לְמַפֵּלָה אַרְמוֹן זָרִים מֵעִיר לְעוֹלָם לֹא יִבָּנֶה ׃"
1607,3,"עַל־כֵּן יְכַבְּדוּךָ עַם־עָז קִרְיַת גּוֹיִם עָרִיצִים יִירָאוּךָ ׃"
1607,4,"כִּי־הָיִיתָ מָעוֹז לַדָּל מָעוֹז לָאֶבְיוֹן בַּצַּר־לוֹ מַחְסֶה מִזֶּרֶם צֵל מֵחֹרֶב כִּי רוּחַ עָרִיצִים כְּזֶרֶם קִיר ׃"
1607,5,"כְּחֹרֶב בְּצָיוֹן שְׁאוֹן זָרִים תַּכְנִיעַ חֹרֶב בְּצֵל עָב זְמִיר עָרִיצִים יַעֲנֶה ׃"
1607,6,"וְעָשָׂה יְהוָה צְבָאוֹת לְכָל־הָעַמִּים בָּהָר הַזֶּה מִשְׁתֵּה שְׁמָנִים מִשְׁתֵּה שְׁמָרִים שְׁמָנִים מְמֻחָיִם שְׁמָרִים מְזֻקָּקִים ׃"
1607,7,"וּבִלַּע בָּהָר הַזֶּה פְּנֵי־הַלּוֹט הַלּוֹט עַל־כָּל־הָעַמִּים וְהַמַּסֵּכָה הַנְּסוּכָה עַל־כָּל־הַגּוֹיִם ׃"
1607,8,"בִּלַּע הַמָּוֶת לָנֶצַח וּמָחָה אֲדֹנָי יְהוִה דִּמְעָה מֵעַל כָּל־פָּנִים וְחֶרְפַּת עַמּוֹ יָסִיר מֵעַל כָּל־הָאָרֶץ כִּי יְהוָה דִּבֵּר ׃"
1607,9,"וְאָמַר בַּיּוֹם הַהוּא הִנֵּה אֱלֹהֵינוּ זֶה קִוִּינוּ לוֹ וְיוֹשִׁיעֵנוּ זֶה יְהוָה קִוִּינוּ לוֹ נָגִילָה וְנִשְׂמְחָה בִּישׁוּעָתוֹ ׃"
1607,10,"כִּי־תָנוּחַ יַד־יְהוָה בָּהָר הַזֶּה וְנָדוֹשׁ מוֹאָב תַּחְתָּיו כְּהִדּוּשׁ מַתְבֵּן בְּמֹי (בְּמוֹ) מַדְמֵנָה ׃"
1607,11,"וּפֵרַשׂ יָדָיו בְּקִרְבּוֹ כַּאֲשֶׁר יְפָרֵשׂ הַשֹּׂחֶה לִשְׂחוֹת וְהִשְׁפִּיל גַּאֲוָתוֹ עִם אָרְבּוֹת יָדָיו ׃"
1607,12,"וּמִבְצַר מִשְׂגַּב חוֹמֹתֶיךָ הֵשַׁח הִשְׁפִּיל הִגִּיעַ לָאָרֶץ עַד־עָפָר ׃"
1608,1,"בַּיּוֹם הַהוּא יוּשַׁר הַשִּׁיר־הַזֶּה בְּאֶרֶץ יְהוּדָה עִיר עָז־לָנוּ יְשׁוּעָה יָשִׁית חוֹמוֹת וָחֵל ׃"
1608,2,"פִּתְחוּ שְׁעָרִים וְיָבֹא גוֹי־צַדִּיק שֹׁמֵר אֱמֻנִים ׃"
1608,3,"יֵצֶר סָמוּךְ תִּצֹּר שָׁלוֹם שָׁלוֹם כִּי בְךָ בָּטוּחַ ׃"
